Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist,-1,"Position Overview:

Deep Labs is seeking an experienced, enthusiastic Data Scientist to join our growing Deep Labs AI team that is designing & building solutions for some of our client's most challenging problems. The ideal candidate will have a strong background working with data, experience applying machine learning and deep learning techniques to real-world problems, and a natural curiosity and desire to experiment, evaluate and solve problems as part of a fast-paced and growing, product-driven technology team. The role reports to the VP, Data Science & Engineering.

Responsibilities:
Build regression, classification and clustering models using Machine Learning and/or Deep Learning algorithms and techniques (e.g. CNN, LSTM, GAN, transfer learning, reinforcement learning, graph learning)
Identify opportunities to enrich and integrate data from multiple, diverse sources
Build, train and evaluate prototype models, using a tool or framework of choice
Work closely with engineering/infrastructure teams to help transition models from development to production
Follow a methodical, analytical approach and have a natural curiosity to understand and get the best from data
Collaboration across teams: communicate effectively across a variety of technical and non-technical audiences
Experience:
Minimum of 3 years of experience in a dedicated Data Scientist role modeling fraud/risk, in one or more of the following industries: finance, payments, banking, risk, fraud, identity or behavioral analytics
Knowledge and experience of Python (preferred) or R, and associated data manipulation/analysis libraries
Working knowledge of open-source machine/deep learning tools and frameworks (e.g. Tensorflow, pytorch, h2o.ai, Databricks, scikit-learn)
Experience using data mining & descriptive analytics to explore and profile new datasets, perform feature selection and extraction, and develop ethical and interpretable models
Knowledge and/or work experience of public cloud environments (e.g. Google GCP or Amazon AWS)
Education: Masters or PhD level qualification in computer science, mathematics, or related discipline

Specific Skills:
Knowledge and experience of good software engineering practices
Keen interest and desire to stay abreast of the latest developments in AI research and industry
Demonstrated ability to take initiative and interact within a global team environment
Strong analytical and quantitative skills; strong attention to detail
Why Deep Labs?

At Deep Labs there is tremendous potential to learn and grow, while also contributing to policies, decisions, and the direction of the company. We offer competitive compensation and benefits, and provide a highly open, honest, and fun work environment.

Our company is committed to equal employment opportunity. We will not discriminate against employees or applicants for employment on any legally-recognized basis [""protected class""] including, but not limited to: age, race, gender, pregnancy, religion or creed, color, national origin, sexual orientation, disability, genetic characteristics, military or veteran status, uniform service member status or any other protected class under federal, state or local law.",3.8,"Deep Labs
3.8","San Francisco, CA",1 to 50 Employees,2015,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Data Scientist,-1,"We make small businesses more successful through better banking.

Our company is looking for a Data Scientist to join our growing team as we enter a new phase of expansion We are San Francisco and Toronto-based, venture-backed startup at the heart of the FinTech movement that is shaping the way financial services are delivered.

Our product

NorthOne is a mobile, tech-powered bank account built for startups, freelancers, and small/medium-sized businesses (SMBs). Poor financial literacy has an outsized impact on the costs and failure rates amongst SMBs, and we are on a mission to eliminate these problems. We are more than a banking platform, we are the world-class Finance Department that SMBs could never afford.

Our team

We data. As a Data Scientist you'll work with our world-class Data, Engineer, Growth and Product teams. Our COO has helped build digital products used by companies like Frank And Oak, Supercell, MachineZone, BMO, and Trivago. Oh, and our CEO? 6 years at McKinsey working on digital customer experience in financial services. We're building a product that solves real pain, vs the imagined kind. Feeling it?

REQUIREMENTS

The skills required for this role:
You love using SQL and Python to answer business questions and analyze data
You live and breath report automation
World class data science experience that you can apply to product, operations, and growth marketing
You're delighted by the idea building the foundational elements of a growing data science practice
You're a strong, clear communicator who knows keep the whole team on the same page
BONUS points:
Hands on experience working with tools like Looker and Mixpanel
Financial services experience or good understanding of banking
Experience working in a startup environment or for a SaaS company
Background in management consulting
PhD or Masters degree
BENEFITS

Our mission is big and audacious, but we're assembling a team to take the challenge head-on.

As a Data Scientist you'll be joining a team that prioritizes:
People: Our company is more than just a business. We're a band of brothers and sisters supporting each other on our mission to rebuild business banking. We're really serious about mission, fit, and the people we work with. You'll be part of a rapidly scaling team that reflects these values and keeps this place special.
Diversity: You'll find yourself in an environment that values diversity and inclusivity. Excellence doesn't come in one flavor and neither should we.
Leadership: You're right in the thick of it, making critical decisions that will clear our path forward.
We offer full health/dental benefits, competitive compensation/equity, and one hell of an adventure.

If you recognize yourself in this job description, let's talk.",4.3,"NorthOne
4.3","San Francisco, CA",1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD)
Data Scientist,-1,"The Role

The Data Scientist role at OMNY provides a unique opportunity for individuals with extensive analytical skills to help support OMNY’s data strategy. Our ideal candidate will have experience in analyzing healthcare data and data quality from electronic medical records and claims. You'll report to our Chief Strategy Officer, Stacey Long.

The Team

This position is part of our newly created Professional Services team, focused on delivering insights to our customers based on data supplied to OMNY by its health system and specialty network clients, as well as data from our ecosystem partners. The team will be made up of results-driven researchers with intellectual curiosity, demonstrated experience in listening to customer needs and translating that into action steps, and a passion for conducting robust and meaningful analysis across a variety of therapeutic areas to support improvements in patient health and well-being. Data Scientists will also collaborate with our Sales, Marketing, and Product teams to share the knowledge you have gained from working with the data to drive our positioning and product roadmaps.

In This Role You Will

Utilize advanced statistical and data science methods for data profiling, quality monitoring, and real-world data analysis for clients.
Coordinate and perform commercial analytics, market access, HEOR, epidemiological, and pharmacovigilance studies and compare results with the medical and scientific literature.
Summarize study methods and findings for client presentations, white papers, infographics, and technical publications.
Coordinate with the engineering team around developing and refining methods for clinical data codification to SNOMED, LOINC, CPT, RxNorm, and other standard ontologies..
Directly support our clients to understand their use cases, strategic goals, and user acceptance criteria and directly address any issues they encounter.
Develop and adapt quality-based reporting metrics to measure data quality and robustness within and across all OMNY data partners

Requirements:

Technical Requirements

Working knowledge of medical code sets, such as HCPCS, ICD, CPT, SNOMED, LOINC, and NDC.
Working knowledge and experience with databases (SQL preferred) and statistical modeling tools, such as Python, SAS, S, or R.
Experience with preparing visualization of analyses using the above tools and frameworks.

What the Role Requires

Master’s degree or higher in bioinformatics, epidemiology, public health, or related field with at least three years of research in a health care, research, pharmaceutical, or academic environment
Thorough knowledge of research methodology and statistical methods with demonstrated ability to work with a wide variety of data structures, coding schemes, and data sources
Published work in the area of clinical data analysis
Experience with visualization of analyses using the above tools and frameworks
Strong organizational, interpersonal, and problem-solving skills
Working knowledge of outcomes research, predictive modeling, and data quality metrics
Outstanding analytic abilities
Clear and concise written and oral communication
First class interpersonal and communication skills
Unwavering attention to detail

Bonus Points

Powerpoint whiz

What We Offer

Competitive salary
Meaningful equity
Medical, dental, vision, life and disability insurance
401(k) plan
Commuter benefits
Flexible Time Off
Collaborative and Engaging Work Environment

Role Location

Atlanta, Ohio, Washington, California, New York, Maryland preferred. Other locations (remote) considered for the right candidate.

OMNY is a proud equal opportunity/affirmative action employer supporting workforce diversity. All qualified applicants will receive consideration for employment without regard to race, ethnicity, ancestry, citizenship status, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), marital status, registered domestic partner status, caregiver status, sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, genetic information, military or veteran status, mental or physical disability, political affiliation, status as a victim of domestic violence, assault or stalking, or other applicable legally protected characteristics.",5.0,"OMNY
5.0","Atlanta, GA",1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD)
Data Scientist,-1,"Data Scientist

Job Duties/Roles
Apply advanced data science concepts to deliver data driven digital offerings and insights
Be able to write independent source code, validate and test for model quality assessment and improvement
Experience with Data Visualization tools such as Power BI or Tableau or Spotfire
Use machine learning and artificial intelligence methods, classification, regression algorithms
Comfortable working independently on data engineering, pre-processing and data preparation responsibilities
Generate Intellectual Property
Requirements:
Python - Numpy, Pandas, lamdas, keras, Tensorflow, MS Cognitive AI, Matlab, R, SQL
OOP(Object Oriented Programming)
ANN, RNN, Classification, Clustering, CNN, Regression tools
Exposure to building RestFul APis for data science modelling is a plus
Practical experience using predictive analytics, multiple approaches, to ID abnormalities and failures using time series and unstructured data sources.
Knowledge of data architectures and systems is a plus
Minimum 3 years of relevant experience in data / analytics.
Education Requirements
BS degree required in Data Science or Computer Science or Engineering or another relevant field",4.2,"Burnett Specialists
4.2","Houston, TX",51 to 200 Employees,1974,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD)
Data Scientist,-1,"Life at aptihealth

The aptihealth team are health care, technology, research and user experience experts passionate about transforming behavioral healthcare. Everything we do at aptihealth is centered around our mission to revolutionize behavioral healthcare and to ensure that the millions of people who need and deserve it have access to it. As a curious and collaborative teammate, someone excited about tackling the hard problems in healthcare and technology, you will play a key role in making that mission a reality. Together, we’ll create and innovate transformative behavioral healthcare – for millions of people.

Role

As a Data Scientist, you will apply operations research and statistical methods to solve challenges related to overall healthcare and behavioral healthcare specifically for aptihealth and its customers. You will think critically and strategically about aptihealth’s platform as a technology, business and operation. This role requires strong problem-solving, analytical and communication skills. You will analyze large and complex data sets both to support product improvements and business decisions, as well as prepare for more efficient analysis. You will work on a range of projects, developing statistical analyses to study and understand the effect of aptihealth’s platform and protocols. You will develop machine learning models to suggest timely and appropriate behavioral health care protocols for members. You will develop methodologies to measure the outcomes and impact of protocols and make an impact on new member growth, quality and retention.

We are in a period of remarkable change and opportunity, where the convergence of technology and data is transforming healthcare. We are looking for self-motivated and driven candidates that are passionate about working on cutting edge technologies and that thrive in a highly collaborative environment.

*Candidates located near Boston, MA or Troy, NY will be considered

Responsibilities
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns
Build predictive models and machine-learning algorithms
Collaborate with engineering and product development teams
Analyze large amounts of data to gain insights on how to deliver superior care by improving our product
Lead projects with hands-on analysis and modeling, drawing from multiple analytical methods to choose the right tool and right level of complexity appropriate for the business challenge
Engage with the organization to identify, prioritize, frame, and structure complex challenges, where advanced analytics projects can have the biggest impact and optimize our product
Identify and communicate the challenges and opportunities for team focus
Help define the analytical direction and influence the direction of the associated healthcare and technology work
Articulate business questions and use mathematical techniques to arrive at an answer using data
Set up business intelligence tools to help translate analysis results into business recommendations
Become a trusted partner to the product team by proactively identifying opportunities to improve engagement, clinical adherence and patient experience.
Develop dashboards and relevant reporting to support business decisions
Drives a data-informed process for experimenting with new products to improve patient outcomes and operational efficiency
Performing ML research, exploratory data analysis, and computer-vision modeling; developing model evaluation and online maintenance methodologies, including confidence estimation, calibration, and concept drift
Develop general-purpose frameworks to support machine learning applications in production
Work with technology team to establish rules to ensure clean data for reporting
Requirements
Bachelor’s degree in Operations Research, Industrial Engineering, Statistics, related field, or equivalent
4+ years relevant work experience (as a data analyst/scientist) or equivalent across product data analytics or consulting
Experience in healthcare and/or a startup technology company preferred
Proven experience as a Data Scientist or Data Analyst
Ability to work on projects from initial to final phase – from problem definition to implementation plan to execution
Experience designing and building statistical forecasting models
Experience designing and building machine learning models
Excellent problem-framing, problem-solving and project management skills
Experience in data mining
Understanding of machine-learning and operations research
Analytical mind and business acumen
Passionate about being a trusted partner to transform behavioral healthcare
Results driven -- documented success in exceeding goals and objectives
Ability to thrive in a fast paced, constantly changing environment
Excellent customer service and team collaboration skills
Demonstrated commitment to the core values of the company
Benefits
The opportunity to make life better for millions of people
An environment of positive and super smart colleagues
Turning innovative ideas into real-world results
Encouraging curiosity and collaboration
Priding ourselves in being diverse and inclusive
Fostering a company of trust & accountability
Competitive pay and benefits
Investment in our team with continuous learning opportunities
Balancing extraordinary work with your personal life
Flexible working hours and lots of freedom in your work habits
Embracing social responsibility with time off for community service projects
About aptihealth

aptihealth, inc. is a behavioral health engagement company that seamlessly integrates physical and behavioral healthcare. Our platform connects medical providers, behavioral health specialists and patients with our proprietary assessment and treatment management protocols to get and keep patients healthier faster. aptihealth’s structured therapy programs are centered on its proprietary 15 Life Domain Clinical Framework© that efficiently provides collaborative care teams with the most thorough understanding of a patient’s behavioral health needs. The aptihealth platform connects patients and their care teams with licensed behavioral health specialists who provide 90-day and extended care therapy by phone or video supported by an easy-to-use consumer friendly digital experience. The aptihealth program is evidenced to get individuals into therapy faster and clinically proven to improve both behavioral and medical outcomes while lowering overall cost. aptihealth’s investors include Hudson River Capital Holdings, KASA Investments and Timber IV.

At aptihealth, we don’t just accept difference—we celebrate it, we support it, and we thrive on it for the benefit of our team, products and community. aptihealth is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. If you have a disability or special need that requires accommodation, please let us know by contacting us.",-1.0,aptihealth,"Boston, MA",-1,-1,-1,-1,-1,-1
Data Scientist,-1,"Role Overview:

Looking for data scientists that will help us discover and leverage digital retail data to help our clients drive top line sales and add meaningful value to their businesses. Primary focus will be in applying data mining techniques, doing statistical analysis, and building high quality prediction systems integrated into our various platforms. In addition, applying advanced machine learning techniques where appropriately to improve performance of the Decision Science solutions.

Key Accountabilities:

Own data science projects through full cycle implementation
Perform analysis to predict outcomes based on business questions/problems
Processing, cleansing, and verifying the integrity of data used for analysis including normalization, standardization, PCA, correlation, data wrangling, etc.
Selecting features, building and optimizing classifiers using machine learning techniques
Data mining using state-of-the-art methods including but not limited to K-means, kNN, Neural Networks, Decision Trees, Random Forests, Logistic Regression, Linear/Multiple Regression, etc
Doing ad-hoc analysis and presenting results in a clear manner
Market Mix Models
Quantify what drove sales changes looking at metrics such as Average Selling Price, Out of Stock, Coupons, Discounts, Media attributed clicks, etc.
Utilize results to help our clients make better investment choices to drive incremental sales
Integrate models into our internal dashboard to visualize and make output of models easily accessible
Media Analytics
Participate in media innovation groups to test and learn new ways of setting up and running media campaigns on Amazon (AMS, AAP), and other online retailers including but not limited to Instacart, Walmart, Target, Kroger, Shipt, etc.
Develop and test models to move from manual and rule-based campaign management to programmatic campaign management
Hypothesis Testing
Perform hypothesis testing to better understand data sets and comparison of data sets.
The following tests might include but are not limited to Normality Testing, T-Test, Chi-Square Test, ANOVA, HOV, etc.
Coach team members less experience in the field of ML

Skills, Experience, Qualifications Required:

We’re looking for someone with 5-7 years of experience manipulating data sets and building statistical models, has a Master’s or PHD in Statistics, Mathematics, Computer Science or another quantitative field
Experience with programmatic media, Google ads, Facebook Advertising, etc. is a plus
Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc
Experience querying databases and using statistical computer languages: R, Python, SQL, etc. Excellence in at least R or Python is highly desirable
Experience with distributed data/computing tools: Map/Reduce, Hadoop, Hive, Spark, Gurobi, MySQL, etc.
Experience with data visualisation tools, such as D3.js, GGplot, Tableau, etc.
Excellent written and verbal communication skills for coordinating across teams

What we offer:

Our benefits package incorporates what we’re passionate about – unlocking your future, overall well-being, and sustainability – whilst giving you control over your benefits.
Unlimited Paid Time Off
401K – Saving Incentive plan
Medical and Dental Insurance plans
Flexible Spending Accounts
Vision benefits
Great learning and development opportunities
Life Assurance and Disability insurance
Option to opt into the Ascential Shares Scheme

About Flywheel

Flywheel Digital is a diverse collection of practitioners who have solved the most challenging problems for numerous Fortune 500 companies on Amazon. We love rolling up our sleeves to figure out the root cause of issues and implement structural fixes to get and keep our client's business on track. Our team of business managers, search managers, analysts, and software developers work together to provide industry-leading support to the best brands on Amazon. Flywheel are headquartered in Baltimore in the United States and have recently set up a European hub in London. In 2018 Flywheel was acquired by Ascential PLC.",3.3,"Ascential
3.3","Baltimore, MD",1001 to 5000 Employees,1947,Company - Public,Internet,Information Technology,$100 to $500 million (USD)
Data Scientist,-1,"Job Title: Data Scientist

Location: San Francisco, CA

Duration: 6-12+ Months(Highest possibility for extension)

Job Description:

The Data and Analytics organization consists of Data Scientists, Researchers and Analysts across Gap Inc chartered with unlocking the power of data to drive decisions across the value chain of our business. Additionally, this organization is responsible for building the Data and Analytics Platform on behalf of the entire organization in partnership with GapTech.

The Responsive Supply Chain Analytics team is focused on supporting a best-in-class Global Supply Chain. The Sr Analyst will help to provide analyses and insights to drive execution of the business processes that enable our brands to read and react to customer demand. The Sr Analyst will report on adoption and effectiveness of these responsive processes, help define the tools and data structures that support report execution and KPI tracking, engineer advanced reporting and business intelligence tools, and perform ad hoc analyses to address complex business questions.
Maintain excellent service levels for report timeliness and accuracy for advanced supply chain reporting within the teams' scope.
Analyze and identify/synthesize key trends that have the potential to impact the organization within established KPIs on a daily/monthly/quarterly and ad-hoc basis.
Represent the use cases, interests and mission of the Responsive Supply Chain Analytics during the evaluation of new tools, technologies, and data environments.
Design, build & continuously improve the teams' ETL and report automation processes.
Proactively foster strong brand and business partner relationships to help inform analytical results with correct business context.
Support strategic initiatives and cross-functional stakeholders by implementing best-in-class quantitative and qualitative analysis and business intelligence tools.
Expert in SQL, Excel (including macros), and Access, one or more data visualization tools (Tableau, Power BI, etc), and one or more high level programming languages (Python, R, C++, etc).
Proficient with creating ETL processes with SAS or similar tools.
Proficient with Powerpoint.
Some familiarity with database administration and query optimization techniques.
Some familiarity with statistical and machine learning concepts as well as KPIs/metrics used within inventory management.
Ability to communicate and work effectively with cross functional teams and business partners.
Bachelor's degree in Economics, Mathematics, Statistics, Supply Chain Management, Engineering, Finance, Operations or related Analytics field + 2-4 years of experience in finance, operations, retail/consumer products or similar analytical role.",3.9,"Enterprise Solutions Inc
3.9","San Francisco, CA",51 to 200 Employees,2000,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD)
Data Scientist,-1,"Role Summary / Purpose

Highly motivated self-driven Engineer in statistics / predictive modeling / data quality to lead and guide multi-disciplinary project teams addressing key challenges for different businesses. Creation of intellectual property will be a key expectation in this role.

Essential Responsibilities

As a senior data scientist in the Modeling and Optimization, you will create and guide programs to invent and deliver predictive modeling and decision technologies for diverse businesses such as Finance, Aviation, Transportation, Oil and Gas and Healthcare.

You will lead and drive programs in areas such as statistical algorithms for processing massive time series data, statistical risk modeling and development of novel algorithms for detecting and correcting anomalies in complex data. Typical applications include developing novel algorithms for early warning systems, building models for medical prognostics and systems for anomaly detection / correction in monitoring and diagnostics data. You will be working with some of the sharpest business minds across the globe on some of the most challenging business problems

Qualifications / Requirements

We are looking for accomplished Fresh Graduates / colleagues with 1-2 years of experience, track record of project management, and demonstrated ability to invent new approaches and/or apply recent methodological advances in data science to solve applied problems. Candidates should hold an MTech or MS in Industrial Engineering, Mathematics, Computer Engineering, Computer Sciences, Statistics with an excellent academic record and practical experience with recent advances in mathematical & computational sciences and statistical modeling.

The candidate should have a demonstrated strong foundation in probability, statistical theory with a deep understanding of statistical estimation, hypothesis testing, linear and logistic regression. A solid grounding in applied statistics including expertise in at least one of the following is a must: Reliability models, Bayesian modeling, statistical classification, cluster analysis, time series analysis, forecasting and multivariate statistics. Possessing strong Implementation and Programming Skills in one or more of Java, Python, SAS, R, Python, Matlab is a must.

Prior experience working with very large datasets using Big Data tools and platforms (Hadoop, PIG / HIVE / Mahout) is highly desirable. Proven ability to lead complex projects with multi-disciplinary teams and ability to work with global businesses to create new programs is a must. Expertise in modelling the behavior of a complex real time dynamic system.

Desired Characteristics
PhD in Industrial Engineering, computer science, Comp Engg, Statistics, Mathematics, Statistics or related field
Strong interpersonal skills
Excellent written and verbal communication skills
Experience working with Financial engineering data – aviation, healthcare, transportation, energy, oil & gas, etc

Send in your resume: guptaneel@xpansemart.com",-1.0,Gustaine,"Orange, CA",-1,-1,-1,-1,-1,-1
Data Scientist,-1,"Work experience as a Python Developer
Expertise in at least one popular Python framework (like Django, Flask or Pyramid)
Knowledge of object-relational mapping (ORM)
Familiarity with front-end technologies (like JavaScript and HTML5)
Analyze Python code and convert same into business rule document.
Understanding of Actuarial computation & functions and convert same into business rule document.
Coordinate with internal teams to understand user requirements and provide technical solutions
Write effective, scalable code
Develop back-end components to improve responsiveness and overall performance
Integrate user-facing elements into applications
Test and debug programs
Improve functionality of existing systems
Implement security and data protection solutions
Assess and prioritize feature requests
Â
Â",-1.0,TransReach,"San Francisco, CA",Unknown,-1,Company - Private,-1,-1,Less than $1 million (USD)
Data Scientist,-1,"Feel free to drop us a message
at
hr@bilintechnology.com
DATA SCIENTIST

If you are an enthusiastic individual who likes to work on a range of cutting-edge problems, in a unique field that brings together big data, machine learning, information retrieval and software development, Bilin Technology is looking for a Data Scientist to join our Engineering team in Boston MA

You will be a key member of the data science team with potential to grow into a bigger role.
Our work spans from information retrieval to real-time computation of core optimization algorithms, post-hoc data modeling, analysis and reporting.
Our research and development efforts focus on developing new capabilities to meet the expanding scope of our business, as well as improving the performance and scalability of our current optimization and measurement platform.
POSITION DESCRIPTION

You will be responsible for the research, design and development of advanced information retrieval, machine learning and statistical algorithms expanding our current analytical tools and capabilities. Specific responsibilities include:

Recommending or developing new learning algorithms suitable for information retrieval and modeling of big data.
Designing stochastic simulations for testing and validation of regression models, learning or optimization algorithms.
Improving the computational efficiency and scalability of various statistical models.
Development, implementation and maintenance of standard programming practices across analytics codebase.
Keeping up with the state-of-the art in relevant areas – Machine Learning, Big Data, Information Retrieval and Natural Language Processing.
REQUIREMENTS
Masters or PhD in Computer Science, Engineering or other relevant scientific field.
High academic achievement (GPA > 3.6/4.0) from a leading school.
Solid understanding of algorithm complexity, mathematical modeling, probability and statistics.
Deep understanding of information retrieval and natural language processing.
Firm knowledge of classical machine learning techniques such as SVMs, neural network and centroid-based as well as hierarchical clustering algorithms.
2+ years of experience with scripting languages like R and Python.
2+ years of object oriented and functional programming experience (Java).
Excellent communication skills with the ability to present complex ideas in a clear and concise manner to a variety of audiences.

In addition to the above requirements, the following would be desirable:

Experience with Scala and Apache Spark.
Familiarity with cutting-edge techniques in text mining, sentiment analysis and feature extraction.
Experience with Relational Databases and SQL programming.
Experience with data visualization.
Benefits
We offer: competitive salaries, 401k match and a casual work environment.",-1.0,Bilin Technology,"Boston, MA",1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD)
Data Scientist,-1,"Fidelity TalentSource is your destination for discovering your next temporary role at Fidelity Investments. We are currently sourcing for a Data Scientist to work at Fidelity in Boston, MA.

At Fidelity’s Artificial Intelligence Center of Excellence (COE), you won’t be just tinkering around the edges, you’ll be building critical solutions that will benefit our clients for years to come. We work closely with business partners, collect requirements and deliver high value AI/ML solutions that drive customer and business value. Those of us who love to work with data see this as the pinnacle of opportunities that you cannot find anywhere else in the industry.

These positions are all located in Boston, MA.

The Team


The AIML (Artificial Intelligence and Machine Learning) team contributes to the vitality and growth of the organization through researching and building complex, cutting edge and scalable AI algorithms, models, platforms and technologies to significantly improve customer experience and drive business results. Our team of high caliber scientists, mathematicians and statisticians use rigorous quantitative approaches to ensure that we are efficiently building algorithms and technology relevant to the business or customer experience issue at hand.

The Expertise You Have
Minimum Master’s Degree in Engineering, Computer Science, Mathematics, Computational Statistics, Operations Research, Machine Learning or related technical fields.
Advanced knowledge in model evaluation, tuning and performance, operationalization and scalability of scientific techniques and establishing decision strategies.
Hands on experience developing supervised and unsupervised machine learning algorithms (regression, decision trees/random forest, neural networks, feature selection/reduction, clustering, parameter tuning, etc.),
Experience in evaluating and making decisions around the use of new or existing tools for a project.
Experience in projects involving large scale-multi dimensional databases, complex business infrastructure, and cross-functional teams. Three to five successfully launched ML projects would be ideal.
Programming skills in Python, Spark, Scala, R or MatLab
The Skills You Bring
Your solid skills in algorithm development and predictive modeling
You have deep knowledge of some combination of the following:
Natural Language Processing (NLP)
Deep Learning, Neural Networks
Real Time Event Detection and Scoring
Time series analysis, Econometrics
Robotic Process Automation
Cloud ML
The Value You Deliver


You will partner with business stakeholders to identify/prioritize top AI opportunities, create business/technical requirements, transform large volumes of data into AI-driven solutions using creative, cutting edge open source methods/technologies, lead ML strategy and road map planning, work across teams and influence the direction of external teams. The ideal candidate will combine experienced AI/ML/Open Source/Tech knowledge with hands on experience building algorithms/models/programming and outstanding business skills (revenue/cost drivers, customer experience, customer journey, communication, etc.) to manage and deliver complex/critical projects driving significant value to Fidelity.

Company Culture


At Fidelity, we are focused on making our financial expertise broadly accessible and effective in helping people live the lives they want. We are a privately held company that places a high degree of value in creating and furthering a work environment that attracts the best talent and reflects our commitment to our associates.

Company Overview


We recruit individuals from a variety of backgrounds, including technology and customer service, to fill assignments across Fidelity’s U.S.-based regional and investor center locations. If you would like to experience Fidelity’s diverse and inclusive workplace while expanding your skillset and developing your professional network, consider a role with Fidelity TalentSource.

For information about working at Fidelity TalentSource, visit FTSJobs.com.

Company Overview


Fidelity TalentSource, formerly Veritude, is the in-house temporary staffing provider for Fidelity Investments, one of the largest and most diversified global financial services firms in the industry. We recruit individuals from a variety of backgrounds, including technology and customer service, to fill assignments across Fidelity’s U.S.-based regional and investor center locations. If you would like to experience Fidelity’s diverse and inclusive workplace while expanding your skill set and developing your professional network, consider a role with Fidelity TalentSource. For information about working at Fidelity TalentSource, visit FTSJobs.com.

Information about Fidelity Investments


At Fidelity, we are focused on making our financial expertise broadly accessible and effective in helping people live the lives they want. We are a privately held company that places a high degree of value in creating and nurturing a work environment that attracts the best talent and reflects our commitment to our associates. We are proud of our diverse and inclusive workplace where we respect and value our associates for their unique perspectives and experiences. For information about working at Fidelity, visit FidelityCareers.com.

Fidelity Investments and Fidelity TalentSource are equal opportunity employers.",3.9,"Fidelity TalentSource
3.9","Boston, MA",1001 to 5000 Employees,1986,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
Data Scientist,-1,"Benefits
Health Insurance
401(k) retirement plan
Flexible vacation policy – take what you need
Paid parental leave
Tuition Reimbursement Program
Free access to gym at both locations
Training and development opportunities at cutting edge data-science conferences across the country
Collaborative and exciting work culture – work with people you’ll love
Opportunities to grow quickly and work with experts in the industry and with clients that are industry giants
Limited travel – especially compared to other consulting companies
Opportunity to work at a company where your opinion matters – we value data over tenure and stress the importance of an inclusive environment
Fun team building off-sites and opportunities – we ensure that we support our collaborative culture by getting the whole team together multiple times throughout the year
Our data scientists leverage elite modeling and industry context to develop custom, practical solutions to our client’s business problems. Their ability to understand, navigate, and manipulate a range of complex data structures enable them to work within our client’s environments to optimally structure their data for analysis. Thru collaboration, they identify the most effective algorithms and modeling techniques to solve each client’s problem.

Ideal data scientists have a Bachelors or Masters in a quantitative field and several years of work experience in a relevant field. Data Scientists must be able to work seamlessly with different types and qualities of data and be able to work backward from a deep understanding of the business problem to develop the appropriate models. Complete fluency in a statistical package such as Python (preferred), SAS, or R is required. Experience and comfort in an analytically intense environment is preferred, though not required.",5.0,"2nd Order Solutions
5.0","Glen Allen, VA",1 to 50 Employees,2008,Company - Private,Consulting,Business Services,Unknown / Non-Applicable
Data Scientist,-1,"Alt's mission is to increase the transparency and liquidity of alternative assets. For investors who are looking for a trusted system of record, Alt is a platform that allows you to research, manage, insure, and leverage your portfolio. Whether it’s sports cards, shoes, watches, art or seed investments, Alt will automatically value your assets, secure your portfolio and help you invest intelligently.

As a data scientist at Alt, you will help build out Alt Value, our valuation product that will give our users transparency on the value of their portfolio, and is also a core piece of multiple other product lines in Alt. We are very early in the building phase so you will be instrumental in laying the foundation at Alt and will have the opportunity to shape the product and culture from the beginning.

Responsibilities
Building, iterating and owning Alt's valuation models
Leveraging data science, statistics and market domain expertise to create data and model driven solutions for our customers
Providing data products that are crucial to the success of our business
Partner with product to understand customer requirements and prioritize model features
Help build and define the valuation team at Alt from the ground up
Requirements
3+ years of experience working with Data Science
Experience with machine learning models and technologies, such as Scikit-Learn and TensorFlow
Experience in technologies such as AWS, Python, Airflow, and SQL
Product-oriented mindset
Excellent communication skills
Benefits
Healthcare benefits, including HSA, for you and your dependent(s)
401K
Unlimited vacation policy
Paid parental leave
Free lunch, dinner, and snacks at office
Dog-friendly office
Ground floor opportunity as an early member of the Alt team; you’ll directly shape the direction of our company",3.3,"Alt
3.3",United States,51 to 200 Employees,1977,Company - Private,Consulting,Business Services,$10 to $25 million (USD)
